Industry Sector,NAICS Sector_2017,Average Employment_2017,Estblishments_2017,Payroll_2017,Average Monthly Wage_2017,NAICS Sector_2018,Average Employment_2018,Estblishments_2018,Payroll_2018,Average Monthly Wage_2018,NAICS Sector_2019,Average Employment_2019,Estblishments_2019,Payroll_2019,Average Monthly Wage_2019,NAICS Sector_2020,Average Employment_2020,Estblishments_2020,Payroll_2020,Average Monthly Wage_2020,NAICS Sector_2021,Average Employment_2021,Estblishments_2021,Payroll_2021,Average Monthly Wage_2021
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,551,20433,958,1825881546,7447,55,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,551,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,55,20697,1123,2033086101,8186
Management of Companies and Enterprises,551.0,20071.0,811.0,1701675311.0,7065.0,551,19848,885,1760907375,7393,551,20433,958,1825881546,7447,551,20928,1029,1926699410,7672,551,20697,1123,2033086101,8186
"Admin., Support, Waste Mgmt, Remediation",56.0,91658.0,5949.0,3255740075.0,2960.0,56,93765,6212,3405037297,3026,56,94984,6529,3708957868,3254,56,92314,6906,3837754951,3464,56,95025,7536,4283974371,3757
Administrative and Support Services,561.0,88276.0,5672.0,3080932018.0,2908.0,561,90169,5920,3211338506,2968,561,91149,6221,3510163240,3209,561,88263,6588,3617599241,3416,561,90782,7198,4043809396,3712
Waste Management and Remediation Services,562.0,3382.0,277.0,174808057.0,4308.0,562,3596,292,193698791,4488,562,3835,308,198794628,4320,562,4051,319,220155710,4529,562,4244,338,240164975,4716
Education Services,61.0,165938.0,2658.0,5931055019.0,2979.0,61,169018,2747,6336627847,3124,61,172890,2848,6791639004,3274,61,166351,2968,7225438371,3620,61,169245,3150,7765032981,3823
Educational Services,611.0,47141.0,1573.0,1465148841.0,2590.0,611,48152,1658,1564048935,2707,611,49752,1754,1710865793,2866,611,48201,1868,1852375992,3203,611,49919,2035,1990250100,3322
Health Care and Social Assistance,62.0,170189.0,10297.0,7512680024.0,3679.0,62,174351,10834,7877712455,3765,62,179929,11333,8341446331,3863,62,180222,11829,8784154328,4062,62,186469,12519,9526523162,4257
Ambulatory Health Care Services,621.0,63450.0,6103.0,3218367354.0,4227.0,621,65485,6384,3393726119,4319,621,66226,6584,3475597358,4373,621,66946,6842,3658137242,4554,621,73266,7325,4092854642,4655
Hospitals,622.0,51024.0,119.0,2897066889.0,4732.0,622,50943,123,2994470816,4898,622,53292,126,3264721955,5105,622,53714,128,3407401272,5286,622,53859,134,3629860080,5616
Nursing and Residential Care Facilities,623.0,27837.0,610.0,761922464.0,2281.0,623,29216,636,824010826,2350,623,29742,641,881118161,2469,623,30213,659,957204177,2640,623,29351,673,988796001,2807
Social Assistance,624.0,27878.0,3466.0,635323317.0,1899.0,624,28708,3692,665504694,1932,624,30669,3982,720008857,1956,624,29349,4200,761411637,2162,624,29994,4387,815012439,2264
"Arts, Entertainment, and Recreation",71.0,31448.0,1442.0,788777510.0,2090.0,71,32319,1510,827213940,2133,71,33695,1572,885789724,2191,71,27444,1665,800072656,2429,71,32259,1765,933826439,2412
"Performing Arts, Spectator Sports, and Related Industries",711.0,5890.0,568.0,302033408.0,4273.0,711,5935,582,324605169,4558,711,5955,596,343210566,4803,711,4063,643,292227481,5994,711,5000,686,345042904,5751
"Museums, Historical Sites, and Similar Institutions",712.0,3193.0,83.0,83716926.0,2185.0,712,3665,92,92173795,2096,712,3857,95,98297258,2124,712,3173,96,95861317,2518,712,3375,100,102940612,2542
"Amusement, Gambling, and Recreation Industries",713.0,22365.0,792.0,403027176.0,1502.0,713,22719,836,410434976,1506,713,23884,882,444281900,1550,713,20208,927,411983858,1699,713,23884,979,485842923,1695
Accommodation and Food Services,72.0,118888.0,5790.0,2126179788.0,1490.0,72,123881,6047,2289159120,1540,72,128002,6180,2468619458,1607,72,113017,6290,2219814498,1637,72,123693,6440,2713139437,1828
Accommodation,721.0,20577.0,787.0,529587252.0,2145.0,721,21163,815,565290576,2226,721,21898,829,613433573,2334,721,17007,836,471699047,2311,721,18644,863,575660555,2573
Food Services and Drinking Places,722.0,98311.0,5003.0,1596592536.0,1353.0,722,102719,5232,1723868544,1399,722,106104,5350,1855185885,1457,722,96010,5454,1748115451,1517,722,105048,5577,2137478882,1696
Other Services (except Public Admin.),81.0,40731.0,5425.0,1388861821.0,2842.0,81,41692,5652,1468295770,2935,81,42811,5799,1573732541,3063,81,40572,6037,1565638726,3216,81,42986,6348,1749878882,3392
Repair and Maintenance,811.0,16293.0,2535.0,671237284.0,3433.0,811,16603,2625,709877288,3563,811,17091,2662,756066267,3687,811,16538,2690,759366556,3826,811,17512,2770,842179702,4008
Personal and Laundry Services,812.0,13184.0,1933.0,318083431.0,2011.0,812,13685,2036,344071643,2095,812,14246,2126,379306938,2219,812,13009,2295,371877654,2382,812,14346,2464,447028095,2597
"Religious, Grantmaking, Civic, Professional, and Similar Organizations",813.0,11254.0,957.0,399541106.0,2959.0,813,11404,991,414346839,3028,813,11474,1011,438359336,3184,813,11026,1052,434394516,3283,813,11128,1114,460671085,3450
Public Administration,92.0,79402.0,1638.0,4113759905.0,4317.0,92,80351,2052,4331500040,4492,92,82230,2041,4532183680,4593,92,83420,2018,4812378849,4807,92,84829,2047,5024170730,4936
"Executive, Legislative, and Other General Government Support",921.0,25215.0,515.0,1038929599.0,3434.0,921,26105,600,1137479681,3631,921,26995,599,1204668282,3719,921,26965,597,1308812930,4045,921,28299,600,1390041526,4093
"Justice, Public Order, and Safety Activities",922.0,18396.0,412.0,929109736.0,4209.0,922,18879,559,986632963,4355,922,19029,552,1032316911,4521,922,19004,538,1071597598,4699,922,19063,542,1114946524,4874
Administration of Human Resource Programs,923.0,7537.0,156.0,350172722.0,3872.0,923,7307,211,358751662,4092,923,7507,209,378094087,4197,923,7745,199,402674547,4333,923,8088,200,426915700,4399
Administration of Environmental Quality Programs,924.0,5899.0,210.0,314295649.0,4440.0,924,5755,248,332374113,4813,924,5796,246,324555913,4666,924,5750,240,352303569,5106,924,5907,235,363586080,5129
"Administration of Housing Programs, Urban Planning, and Community Development",925.0,523.0,34.0,24262266.0,3868.0,925,547,34,26790904,4085,925,481,33,24543217,4257,925,495,33,25689832,4323,925,531,33,26645664,4184
Administration of Economic Programs,926.0,7215.0,283.0,360375365.0,4162.0,926,7080,363,365483364,4302,926,7200,365,377114325,4365,926,7541,374,400413654,4425,926,7128,399,408929159,4781
Unclassified establishments,99.0,9.0,19.0,339041.0,3139.0,99,63,75,5223118,6882,99,113,133,10874101,8055,99,19,52,1575326,7001,99,110,112,8500312,6440
Unclassified,999.0,9.0,19.0,339041.0,3139.0,999,63,75,5223118,6882,999,113,133,10874101,8055,999,19,52,1575326,7001,999,110,112,8500312,6440
National Security and International Affairs,,,,,,928,290,9,12791069,3672,928,302,9,13366725,3688,928,381,10,14038623,3073,928,313,9,14125956,3758
